"inv","scheda","file"
4006,NULL,"4006_testa_marta_web.nxz"
4016,NULL,"4016_recumbente_web.nxz"
4059,NULL,"4059_acrobata_web.nxz"
4116,NULL,"4116_vaso_web.nxz"
4123,NULL,"4123_bassorelievo_cavalieri_terracotta_web.nxz"
4545,NULL,"4545_vaso_web.nxz"
4966,NULL,"4966_sileno_web.nxz"
6138,NULL,"6138_statua_femminile_web.nxz"
6143,NULL,"6143_testa_atena_web.nxz"
6159,NULL,"6159_capitello_web.nxz"
6162,NULL,"6162_talamone_web.nxz"
6432,NULL,"6432_bracciale_oro_web.nxz"
6605,NULL,"6605_vaso_web.nxz"
8263,NULL,"8263_cratere_web.nxz"
8264,NULL,"8264_cratere_web.nxz"
12038,NULL,"12038_spilla_delfino_web.nxz"
20047,NULL,"20047_recumbente_femminile_web.nxz"
20509,NULL,"20509_vaso_sirena_web.nxz"
20535,NULL,"20535_testa_satiro_web.nxz"
22336,NULL,"22336_matrice_recumbente_web.nxz"
22429,NULL,"22429_specchio_web.nxz"
22430,NULL,"22430_specchio_web.nxz"
22436,NULL,"22436_specchio_web.nxz"
22437,NULL,"22437_corona_fiorita_web.nxz"
22631,NULL,"22631_schiaccianoci_mani_web.nxz"
27994,NULL,"27994_bambola_web.nxz"
33365,NULL,"33365_statua_sarcofago_web.nxz"
33598,NULL,"33598_capitello_web.nxz"
37372,NULL,"37372_thot_web.nxz"
51729,NULL,"51729_capitello_sotto_zeus_web.nxz"
51850,NULL,"51850_vasetto_web.nxz"
51854,NULL,"51854_testa_nettuno_web.nxz"
54717,NULL,"54717_sedia_web.nxz"
54793,NULL,"54793_fregio_grifoni_web.nxz"
55263,NULL,"55263_papera_web.nxz"
64763,NULL,"64763_figura_terracotta_web.nxz"
99195,NULL,"99195_vasetto_con_faccia_web.nxz"
113502,NULL,"113502_brocca_collana_web.nxz"
113503,NULL,"113503_brocca_collana_web.nxz"
115472,NULL,"115472_anfora_pugilato_web.nxz"
115473,NULL,"115473_anfora_cavalli_web.nxz"
115474,NULL,"115474_anfora_salto_web.nxz"
121327,NULL,"121327_zeus_bronzo_web.nxz"
138846,NULL,"138846_bacile_web.nxz"
141412,NULL,"141412_tegame_web.nxz"
141414,NULL,"141414_elmo_web.nxz"
170120,NULL,"170120_statuetta_ambra_web.nxz"
204787,NULL,"204787_disco_fittile_web.nxz"
208386,NULL,"208386_altare_web.nxz"
211073,NULL,"211073_elmo_web.nxz"
33353,35708,"33353_base_web.nxz"
6475,31362,"6475_cigno_vetro_web.nxz"
19476,27843,"19476_vaso_web.nxz"
51857,27631,"51857_testa_femminile_web.nxz"
12314,27586,"12314_manico_avorio_web.nxz"
54836,27493,"54836_ninfeo_web.nxz"
20068,27305,"20068_maschera_web.nxz"
34777,27151,"34777_anfora_web.nxz"
34776,27150,"34776_urna_vetro_web.nxz"
4066,26361,"4066_gradiatore_web.nxz"
51742,25124,"51742_giove_web.nxz"
121725,24900,"121725_sirena_web.nxz"
40788,24876,"40788_base_statua_web.nxz"
6219,24841,"6219_statua_femminile_web.nxz"
37375,24208,"37375_cariatide_web.nxz"
20923,24190,"20923_statua_femminile_web.nxz"
3942,24186,"3942_stele_funeraria_romana_web.nxz"
3920,24184,"3920_stele_funeraria_web.nxz"
3885,24183,"3885_testa_femminile_web.nxz"
73081,23942,"73081_augusto_web.nxz"
51383,23935,"51383_statua_femminile_web.nxz"
3934,23922,"3934_testa_maschile_web.nxz"
3930,23921,"3930_statua_dioniso_web.nxz"
3883,23916,"3883_testa_femminile_web.nxz"
3895,23911,"3895_ercole_lisippo_web.nxz"
3897,23908,"3897_testa_femminile_web.nxz"
3905,23907,"3905_testa_femminile_web.nxz"
3899,23906,"3899_testa_atena_web.nxz"
113768,14634,"113768_metopa_web.nxz"
4972,13982,"4972_riccio_web.nxz"
20195,13976,"20195_scarpa_web.nxz"
4806,13966,"4806_coppa_web.nxz"
4805,13965,"4805_coppa_web.nxz"
20690,13937,"20690_statuetta_egizia_web.nxz"
4757,13852,"4757_vasetto_protomi_web.nxz"
7212,12395,"7212_idolo_femm_web.nxz"
41466,12062,"41466_capanna_web.nxz"
139803,12055,"139803_venere_preistorica_web.nxz"
139802,12054,"139802_venere_preistorica_web.nxz"
5409,12050,"5409_vaso_colino_web.nxz"
134024,12017,"134024_idolo_maschile_web.nxz"
50783,3607,"50783_acroterio_web.nxz"
50782,3606,"50782_acroterio_web.nxz"
17594,3557,"17594_antefissa_web.nxz"
17575,3551,"17575_gorgone_antefissa_web.nxz"
34903,2752,"34903_coppo_gorgone_web.nxz"
