id,biblio_temp,contributo,biblio,titolo,autore,altri_autori,pag
1,1000,,,Saturo (Ta) – Acropoli. La frequentazione tra VIII secolo a.C. ed età romana tardo-imperiale (campagne di scavo 2014-17).,Lippolis Enzo,"Cozzolino Marilena, D'Oronzo Cosimo, Ferretti Roberto, Lollino Walter, Marchetti Chiara Maria, Parisi Valeria",231-294
2,1001,,,Satyrion (Taranto). Scavi e ricerche nel luogo del più antico insediamento laconico in Puglia,Lo Porto Felice Gino,nd,nd
3,1002,,,Corinto e l'Occidente: la costa del Mar Ionio,Lippolis Enzo,nd,nd
4,1003,86,73,Topografia antica di Taranto,Lo Porto Felice Gino,nd,nd
5,1004,118,214,La ceramica laconica del museo di Taranto,Pelagatti Paola,nd,nd
6,1007,,,Le produzioni ceramiche arcaiche,Maruggi Grazia Angela,nd,nd
7,1009,,,Il territorio a nord di Taranto,Maruggi Grazia Angela,nd,nd
8,1011,,,Processi di strutturazione territoriale: il caso di Taranto,Cinquantaquattro Teresa Elena,nd,nd
9,1012,,,26.1 Largo S. Martino,Pasquale Favia,nd,nd
10,1013,5,56,Tarantine Graves containing Corinthian Pottery,Neeft Cornelis W.,nd,nd
11,1014,2,57,Corinthian pottery in Magna Grecia,Neeft Cornelis W.,nd,nd
12,1015,,,Tra approdo preurbano e stanziamento brettio: due note su Kaulonia,Parra Maria Cecilia,nd,347-363
13,1016,,,Solo tombe di atleti a Taranto?,Valenza Mele Nazarena,nd,4-16
14,1017,91,162,Ceramica arcaica dalla necropoli di Taranto,Lo Porto Felice Gino,nd,nd
15,1019,,,An Etruscan Horse Race from Poggio Civitate,Cool Root Margaret,nd,121-137
16,1020,,,519. Pyxis with lid. Mid 7-th century BC,Dell'Aglio Antonietta,nd,nd
17,1021,,,Importazioni fittili greco-orientali sulla costa jonica d’Italia,Guzzo Pier Giovanni,nd,107-130 
18,1022,92,163,Tombe arcaiche tarentine con terrecotte ioniche,Lo Porto Felice Gino,nd,153-170
19,1024,,,"Corredo funerario della necropoli di via Marche, Taranto",Lippolis Enzo,nd,nd
20,1025,,,"Taranto, via Marche",Dell'Aglio Antonietta,Lippolis Enzo,nd
21,1026,,,"Taranto, via Marche",Dell'Aglio Antonietta,nd,nd
22,1009,,,Taranto: forma e sviluppo della topografia urbana,Lippolis Enzo,nd,nd
